"独自番号","安定所名","求人番号","事_業_所","所_在_地","資本金","全社員数","就業場所人数","求人数","就業場所","月額賃金","賞与","時間外平均","週休２日制","年間休日数","業種8種","産業分類","職種"
"0109","大隅公共職業安定所","46080-74059","さくら電機産業株式会社","鹿児島県志布志市志布志町帖３６７３－１","1,050万円",150,26,4,"",\173000,"あり",20,"毎週",125,"販売・小売・スーパー","電気機械器具卸売業","総合職"
"0110","大隅公共職業安定所","46080-96459","株式会社スズキアリーナ大隅","鹿児島県曽於市大隅町月野８７１２","1,000万円",32,21,1,"鹿児島県",\169000,"あり",18,"毎週",125,"販売・小売・スーパー","自動車小売業","営業事務職"
"0111","大隅公共職業安定所","46080-93159","株式会社スズキアリーナ大隅","鹿児島県曽於市大隅町月野８７１２","1,000万円",32,22,1,"鹿児島県",\189000,"あり",18,"毎週",125,"販売・小売・スーパー","自動車小売業","営業職（自動車販売員）"
"0112","大隅公共職業安定所","46080-101759","株式会社スズキアリーナ大隅","鹿児島県曽於市大隅町月野８７１２","1,000万円",32,21,1,"鹿児島県",\169000,"あり",18,"毎週",125,"販売・小売・スーパー","自動車小売業","整備職（無資格：可）"
"0113","大隅公共職業安定所","46080-80659","株式会社ナンチクファーム","鹿児島県曽於市末吉町諏訪方８６５３－７","1億円",126,126,1,"鹿児島県",\192000,"あり",2,"その他",118,"その他の分野","畜産農業","総務・経理事務"
"0114","大隅公共職業安定所","46080-78559","株式会社ナンチクファーム","鹿児島県曽於市末吉町諏訪方８６５３－７","1億円",126,126,5,"",\205000,"あり",3,"その他",104,"その他の分野","畜産農業","畜産業（養豚飼育管理）"
"0115","大隅公共職業安定所","46080-103959","有限会社藤嶺牧場","鹿児島県曽於市末吉町諏訪方８６５３－７","300万円",41,37,5,"",\205000,"あり",3,"その他",104,"その他の分野","畜産農業","畜産業（養牛飼育管理）"
"0116","鹿児島公共職業安定所","46010-740559","株式会社ニシムタ","鹿児島県鹿児島市与次郎１丁目１０－１","5,000万円",3551,3450,60,"鹿児島県",\184000,"あり",21,"その他",110,"販売・小売・スーパー","百貨店","販売職"
"0117","熊本公共職業安定所","43010-671459","日本郵便株式会社九州支社","熊本県熊本市中央区城東町１－１","7,000億円",169961,17713,35,"",\214100,"あり",13,"その他",120,"その他の分野","郵便局","郵便配達・仕分け等（鹿児島）"
"0118","熊本公共職業安定所","43010-684059","日本郵便株式会社九州支社","熊本県熊本市中央区城東町1-1",,169961,17713,23,"",\214100,"あり",3,"その他",120,"その他の分野","郵便局","郵便局員(鹿児島県東部)"
"0119","大隅公共職業安定所","46080-23959","マトヤ技研工業株式会社","鹿児島県曽於市末吉町南之郷３０５０－６","3,000万円",62,33,5,"鹿児島県",\172000,"あり",20,"その他",115,"製造分野","その他のはん用機械・同部分品製造業","技術系総合職"
"0120","鹿児島公共職業安定所","46010-846159","鹿児島トヨタ自動車株式会社","鹿児島県鹿児島市西千石町１－２８

（加治屋町バス停から徒歩２分）","1億円",520,467,2,"",\197000,"あり",26,"その他",115,"販売・小売・スーパー","自動車小売業","店舗事務職"
"0121","鹿児島公共職業安定所","46010-18459","鹿児島トヨタ自動車株式会社","鹿児島県鹿児島市西千石町１－２８

（加治屋町バス停から徒歩２分）","1億円",520,467,5,"鹿児島県",\200000,"あり",26,"その他",115,"販売・小売・スーパー","自動車小売業","サービスエンジニア"
"0122","鹿児島公共職業安定所","46010-449059","南国殖産株式会社","鹿児島県鹿児島市中央町１８－１　南国センタービル５階","5億円",1178,142,4,"鹿児島県",\223000,"あり",17,"その他",110,"販売・小売・スーパー","建築材料卸売業","電気・機械設備施工管理（技術職）"
"0123","鹿児島公共職業安定所","46010-586059","株式会社南電工","鹿児島県鹿児島市天保山町22番28号","5,000万円",172,82,6,"鹿児島県",\180000,"あり",19,"毎週",124,"建築・設備","電気工事業","電気工事技術職「鹿児島市、姶良市"
"0124","都城公共職業安定所","45040-160559","株式会社コバテック宮崎工場","宮崎県都城市高木町７１１１－５","4,800万円",390,132,5,"宮崎県",\165000,"あり",20,"その他",117,"製造分野","自動車・同附属品製造業","製品の外観検査及び選別検査"
"0125","都城公共職業安定所","45040-159359","株式会社コバテック宮崎工場","宮崎県都城市高木町7111-5","4,800万円",390,132,5,"宮崎県",\180000,"あり",25,"毎週",117,"製造分野","自動車・同附属品製造業","機械オペレーター(NC,放電、検査機)"
"0126","横浜公共職業安定所","14010-1033659","横浜冷凍株式会社","神奈川県横浜市西区みなとみらい三丁目３－３
横浜コネクトスクエア１０階","143億342万円",1401,1401,35,"",\205000,"あり",17,"毎週",124,"運輸・倉庫・インフラ","冷蔵倉庫業","冷蔵倉庫管理"
"0127","横浜公共職業安定所","14010-1034959","横浜冷凍株式会社","神奈川県横浜市西区みなとみらい三丁目３－３
横浜コネクトスクエア１０階","143億342万円",1401,1401,6,"",\205000,"あり",17,"毎週",124,"運輸・倉庫・インフラ","冷蔵倉庫業","冷蔵倉庫関係・メカニカルエンジニア"
"0128","加世田公共職業安定所","46050-71159","株式会社アジャスト","鹿児島県南さつま市金峰町浦之名１９８８－１","4,000万円",2,0,1,"鹿児島県",\190000,"あり",2,"その他",105,"建築・設備","管理，補助的経済活動を行う事業所（０６総合工事業）","建設・土木作業員"
"0129","鹿児島公共職業安定所","46010-346259","株式会社カミチクファーム","鹿児島県鹿児島市谷山中央1-4389","3,000万円",188,8,1,"宮崎県",\180000,"あり",11,"その他",100,"その他の分野","畜産農業","牛畜産技能員「宮崎県児湯郡"
"0130","鹿児島公共職業安定所","46010-360359","株式会社カミチクファーム","鹿児島県鹿児島市谷山中央1-4389","3,000万円",188,16,1,"鹿児島県",\180000,"あり",11,"その他",100,"その他の分野","畜産農業","牛畜産技能員「南さつま市」"
"0131","鹿児島公共職業安定所","46010-351059","株式会社カミチクファーム","鹿児島県鹿児島市谷山中央1-4389","3,000万円",188,5,1,"宮崎県",\180000,"あり",11,"その他",100,"その他の分野","畜産農業","牛畜産技能員「西都市」"
"0132","鹿児島公共職業安定所","46010-504359","株式会社クオリティファーム","鹿児島県鹿児島市谷山中央1-4389","3,000万円",6,5,1,"鹿児島県",\180000,"あり",3,"その他",100,"その他の分野","畜産農業","豚畜産技能員「曽於市」"
"0133","鹿児島公共職業安定所","46010-379159","株式会社カミチク","鹿児島県鹿児島市上福元町6921-1","5,000万円",143,47,2,"鹿児島県",\190000,"あり",10,"その他",110,"販売・小売・スーパー","農畜産物・水産物卸売業","食肉製造技術者「下福元町」"
"0134","鹿児島公共職業安定所","46010-380459","株式会社クオリティミート","鹿児島県鹿児島市下福元町７８５２番地（鹿児島食肉センター内）","1,000万円",46,39,2,"鹿児島県",\190000,"あり",12,"その他",110,"製造分野","畜産食料品製造業","豚肉の解体・整形／製造部（幹部候補）"
"0135","鹿児島公共職業安定所","46010-858459","株式会社九州産直市場","鹿児島県鹿児島市谷山中央１丁目４３８９","1,000万円",70,15,3,"鹿児島県",\180000,"あり",6,"毎週",105,"飲食・宿泊","その他の飲食店","食肉加工・接客販売"
"0136","国分公共職業安定所","46040-119459","株式会社九州ファーム物流","鹿児島県伊佐市大口下殿字池ノ山１０２３","5,000万円",42,10,1,"鹿児島県",\190000,"あり",25,"その他",110,"運輸・倉庫・インフラ","一般貨物自動車運送業","物流、倉庫業務課"
"0137","国分公共職業安定所","46040-229059","社会福祉法人希望ケ丘福祉会「横川緑風園」","鹿児島県姶良市西餅田８０６－１",,88,26,2,"鹿児島県",\197300,"あり",1,"その他",107,"医療・福祉","老人福祉・介護事業","介護職員"
"0138","国分公共職業安定所","46040-157059","霧島公園観光有限会社（旅行人山荘）","鹿児島県霧島市牧園町高千穂３８６５","300万円",76,76,2,"鹿児島県",\195000,"あり",,"その他",87,"飲食・宿泊","旅館，ホテル","接客"
"0139","国分公共職業安定所","46040-158359","霧島公園観光有限会社（旅行人山荘）","鹿児島県霧島市牧園町高千穂３８６５","300万円",76,76,1,"鹿児島県",\195000,"あり",,"その他",87,"飲食・宿泊","旅館，ホテル","調理"
"0140","鹿屋公共職業安定所","46030-89659","株式会社財宝","鹿児島県鹿屋市新栄町３５－７","5,000万円",675,209,5,"鹿児島県",\190000,"あり",15,"その他",85,"販売・小売・スーパー","各種食料品小売業","一般事務（鹿屋市）"
"0141","鹿屋公共職業安定所","46030-88759","株式会社財宝","鹿児島県鹿屋市新栄町３５－７","5,000万円",675,130,5,"鹿児島県",\190000,"あり",15,"その他",85,"販売・小売・スーパー","各種食料品小売業","一般事務（鹿児島市鴨池）"
"0142","鹿屋公共職業安定所","46030-90059","株式会社財宝","鹿児島県鹿屋市新栄町３５－７","5,000万円",675,30,5,"鹿児島県",\190000,"あり",15,"その他",85,"販売・小売・スーパー","各種食料品小売業","製造作業員（垂水第一工場）"
"0143","鹿屋公共職業安定所","46030-86559","株式会社財宝","鹿児島県鹿屋市新栄町３５－７","5,000万円",675,15,3,"鹿児島県",\190000,"あり",15,"その他",85,"販売・小売・スーパー","各種食料品小売業","発送作業員（鹿屋市）"
"0144","鹿屋公共職業安定所","46030-82059","株式会社財宝","鹿児島県鹿屋市新栄町３５－７","5,000万円",675,11,3,"鹿児島県",\190000,"あり",15,"その他",85,"販売・小売・スーパー","各種食料品小売業","発送作業員（垂水市）"
"0145","鹿屋公共職業安定所","46030-76359","株式会社財宝","鹿児島県鹿屋市新栄町３５－７","5,000万円",675,21,3,"東京都",\217200,"あり",15,"その他",85,"販売・小売・スーパー","各種食料品小売業","発送作業員（東京都江東区）"
"0146","鹿屋公共職業安定所","46030-83359","株式会社財宝","鹿児島県鹿屋市新栄町３５－７","5,000万円",675,29,3,"鹿児島県",\190000,"あり",15,"その他",85,"販売・小売・スーパー","各種食料品小売業","接客・サービス（垂水市）"
"0147","国分公共職業安定所","46040-125159","株式会社鹿農食品工業","鹿児島県伊佐市大口曽木３１７２番地１","300万円",10,10,1,"鹿児島県",\180700,"あり",15,"その他",85,"製造分野","清涼飲料製造業","製造作業員"
